"f_21:0","f_21:1","f_21:2","Points:0","Points:1","Points:2"
5.6733e-07,-8.7203e-08,0,0.02,1.85,0
8.7618e-07,-1.2172e-07,0,0.03,1.85,0
1.2132e-06,-1.55e-07,0,0.04,1.85,0
1.588e-06,-1.8978e-07,0,0.05,1.85,0
2.0115e-06,-2.2834e-07,0,0.06,1.85,0
2.4962e-06,-2.7277e-07,0,0.07,1.85,0
3.0562e-06,-3.2512e-07,0,0.08,1.85,0
3.708e-06,-3.8745e-07,0,0.09,1.85,0
4.4707e-06,-4.6205e-07,0,0.1,1.85,0
5.3665e-06,-5.5154e-07,0,0.11,1.85,0
6.421e-06,-6.5889e-07,0,0.12,1.85,0
7.6642e-06,-7.8767e-07,0,0.13,1.85,0
9.1311e-06,-9.4207e-07,0,0.14,1.85,0
1.0862e-05,-1.127e-06,0,0.15,1.85,0
1.2906e-05,-1.3482e-06,0,0.16,1.85,0
1.5317e-05,-1.6127e-06,0,0.17,1.85,0
1.8161e-05,-1.9286e-06,0,0.18,1.85,0
2.1516e-05,-2.3054e-06,0,0.19,1.85,0
2.5469e-05,-2.7545e-06,0,0.2,1.85,0
3.0125e-05,-3.2891e-06,0,0.21,1.85,0
3.5606e-05,-3.9254e-06,0,0.22,1.85,0
4.2052e-05,-4.6823e-06,0,0.23,1.85,0
4.9627e-05,-5.5822e-06,0,0.24,1.85,0
5.852e-05,-6.651e-06,0,0.25,1.85,0
6.8951e-05,-7.9192e-06,0,0.26,1.85,0
8.1174e-05,-9.4235e-06,0,0.27,1.85,0
9.5483e-05,-1.1208e-05,0,0.28,1.85,0
0.00011222,-1.3323e-05,0,0.29,1.85,0
0.00013177,-1.5831e-05,0,0.3,1.85,0
0.0001546,-1.8802e-05,0,0.31,1.85,0
0.00018123,-2.2317e-05,0,0.32,1.85,0
0.00021226,-2.6471e-05,0,0.33,1.85,0
0.0002484,-3.1377e-05,0,0.34,1.85,0
0.00029043,-3.7169e-05,0,0.35,1.85,0
0.00033929,-4.4005e-05,0,0.36,1.85,0
2.7306e-07,-5.2902e-08,0,0.01,1.86,0
0,0,0,0,1.86,0
5.5727e-07,-9.5874e-08,0,0.02,1.86,0
8.6041e-07,-1.3373e-07,0,0.03,1.86,0
1.1911e-06,-1.7021e-07,0,0.04,1.86,0
1.5588e-06,-2.083e-07,0,0.05,1.86,0
1.9742e-06,-2.5051e-07,0,0.06,1.86,0
2.4495e-06,-2.9914e-07,0,0.07,1.86,0
2.9986e-06,-3.5641e-07,0,0.08,1.86,0
3.6376e-06,-4.2458e-07,0,0.09,1.86,0
4.3852e-06,-5.0618e-07,0,0.1,1.86,0
5.2631e-06,-6.0402e-07,0,0.11,1.86,0
6.2964e-06,-7.2134e-07,0,0.12,1.86,0
7.5143e-06,-8.62e-07,0,0.13,1.86,0
8.9512e-06,-1.0306e-06,0,0.14,1.86,0
1.0647e-05,-1.2323e-06,0,0.15,1.86,0
1.2648e-05,-1.4737e-06,0,0.16,1.86,0
1.5009e-05,-1.762e-06,0,0.17,1.86,0
1.7794e-05,-2.106e-06,0,0.18,1.86,0
2.1077e-05,-2.5163e-06,0,0.19,1.86,0
2.4946e-05,-3.0051e-06,0,0.2,1.86,0
2.9503e-05,-3.5867e-06,0,0.21,1.86,0
3.4865e-05,-4.2785e-06,0,0.22,1.86,0
4.1171e-05,-5.1009e-06,0,0.23,1.86,0
4.8581e-05,-6.0781e-06,0,0.24,1.86,0
5.7279e-05,-7.2379e-06,0,0.25,1.86,0
6.7481e-05,-8.6135e-06,0,0.26,1.86,0
7.9436e-05,-1.0244e-05,0,0.27,1.86,0
9.3429e-05,-1.2175e-05,0,0.28,1.86,0
0.00010979,-1.4463e-05,0,0.29,1.86,0
0.00012891,-1.7171e-05,0,0.3,1.86,0
0.00015123,-2.0375e-05,0,0.31,1.86,0
0.00017725,-2.4163e-05,0,0.32,1.86,0
0.00020758,-2.8636e-05,0,0.33,1.86,0
0.00024288,-3.3916e-05,0,0.34,1.86,0
0.00028394,-4.0146e-05,0,0.35,1.86,0
0.00033165,-4.7489e-05,0,0.36,1.86,0
0.000396,-5.2056e-05,0,0.37,1.85,0
0.00038703,-5.6133e-05,0,0.37,1.86,0
0.00045125,-6.63e-05,0,0.38,1.86,0
2.6776e-07,-5.7316e-08,0,0.01,1.87,0
0,0,0,0,1.87,0
5.4626e-07,-1.038e-07,0,0.02,1.87,0
8.4319e-07,-1.4471e-07,0,0.03,1.87,0
1.1669e-06,-1.8409e-07,0,0.04,1.87,0
1.5269e-06,-2.2519e-07,0,0.05,1.87,0
1.9335e-06,-2.7073e-07,0,0.06,1.87,0
2.3987e-06,-3.2317e-07,0,0.07,1.87,0
2.936e-06,-3.8491e-07,0,0.08,1.87,0
3.5612e-06,-4.5839e-07,0,0.09,1.87,0
4.2925e-06,-5.4632e-07,0,0.1,1.87,0
5.151e-06,-6.5174e-07,0,0.11,1.87,0
6.1613e-06,-7.781e-07,0,0.12,1.87,0
7.3521e-06,-9.2954e-07,0,0.13,1.87,0
8.7567e-06,-1.1109e-06,0,0.14,1.87,0
1.0414e-05,-1.3279e-06,0,0.15,1.87,0
1.2369e-05,-1.5874e-06,0,0.16,1.87,0
1.4676e-05,-1.8972e-06,0,0.17,1.87,0
1.7397e-05,-2.2668e-06,0,0.18,1.87,0
2.0604e-05,-2.7073e-06,0,0.19,1.87,0
2.4383e-05,-3.2318e-06,0,0.2,1.87,0
2.8832e-05,-3.8557e-06,0,0.21,1.87,0
3.4067e-05,-4.5974e-06,0,0.22,1.87,0
4.0223e-05,-5.4787e-06,0,0.23,1.87,0
4.7455e-05,-6.5253e-06,0,0.24,1.87,0
5.5944e-05,-7.7671e-06,0,0.25,1.87,0
6.59e-05,-9.2392e-06,0,0.26,1.87,0
7.7565e-05,-1.0983e-05,0,0.27,1.87,0
9.1219e-05,-1.3047e-05,0,0.28,1.87,0
0.00010719,-1.5489e-05,0,0.29,1.87,0
0.00012584,-1.8378e-05,0,0.3,1.87,0
0.0001476,-2.1791e-05,0,0.31,1.87,0
0.00017298,-2.5822e-05,0,0.32,1.87,0
0.00020255,-3.0581e-05,0,0.33,1.87,0
0.00023697,-3.6194e-05,0,0.34,1.87,0
0.00027699,-4.2812e-05,0,0.35,1.87,0
0.00032348,-5.0605e-05,0,0.36,1.87,0
0.00037743,-5.9773e-05,0,0.37,1.87,0
0.00043998,-7.0543e-05,0,0.38,1.87,0
0.00052562,-7.8218e-05,0,0.39,1.86,0
0.00051241,-8.3176e-05,0,0.39,1.87,0
0.00059621,-9.7998e-05,0,0.4,1.87,0
2.6203e-07,-6.1317e-08,0,0.01,1.88,0
0,0,0,0,1.88,0
5.3438e-07,-1.1098e-07,0,0.02,1.88,0
